Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0,,,,
Available at: www.wittgensteincentre.org/dataexplorer ,,,,
,,,,
,,,,
Population Size by Education (000's),,,,
"De facto population in a country or region, classified by sex and by five-year age groups. Available by level of educational attainment, in all scenarios, and at all geographical scales. Figures are presented in thousands. <br><br> Data for 1950 to 2015: Based on <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2017</a>",,,,
Solomon Islands,2010,Upper Secondary,90,30.5
Somalia,2010,Upper Secondary,706,348.2
South Africa,2010,Upper Secondary,710,10842.3
South Sudan,2010,Upper Secondary,728,562.1
Spain,2010,Upper Secondary,724,7997
Sri Lanka,2010,Upper Secondary,144,4043.8
Sudan,2010,Upper Secondary,729,2411.9
Suriname,2010,Upper Secondary,740,65.5
Swaziland,2010,Upper Secondary,748,136.4
Sweden,2010,Upper Secondary,752,3009
Switzerland,2010,Upper Secondary,756,3139
Syrian Arab Republic,2010,Upper Secondary,760,1488.3
Taiwan Province of China,2010,Upper Secondary,158,6219.7
Tajikistan,2010,Upper Secondary,762,3059
Thailand,2010,Upper Secondary,764,11295.7
The former Yugoslav Republic of Macedonia,2010,Upper Secondary,807,698.6
Timor-Leste,2010,Upper Secondary,626,130.2
Togo,2010,Upper Secondary,768,254.4
Tonga,2010,Upper Secondary,776,9.7
Trinidad and Tobago,2010,Upper Secondary,780,266.4
Tunisia,2010,Upper Secondary,788,1016.3
Turkey,2010,Upper Secondary,792,10775.2
Turkmenistan,2010,Upper Secondary,795,2566.7
Uganda,2010,Upper Secondary,800,742.8
Ukraine,2010,Upper Secondary,804,25215.3
United Arab Emirates,2010,Upper Secondary,784,2045.2
United Kingdom of Great Britain and Northern Ireland,2010,Upper Secondary,826,18026.6
United Republic of Tanzania,2010,Upper Secondary,834,383.5
United States of America,2010,Upper Secondary,840,128068.2
Uruguay,2010,Upper Secondary,858,462.4
Vanuatu,2010,Upper Secondary,548,16.9
Venezuela (Bolivarian Republic of),2010,Upper Secondary,862,5679
Viet Nam,2010,Upper Secondary,704,8769.6
World,2010,Upper Secondary,900,1315111.1
Yemen,2010,Upper Secondary,887,2012.5
Zambia,2010,Upper Secondary,894,711.6
Zimbabwe,2010,Upper Secondary,716,2653.2
Afghanistan,2010,Post Secondary,4,329.7
Albania,2010,Post Secondary,8,261.4
Algeria,2010,Post Secondary,12,2509.3
Angola,2010,Post Secondary,24,23.6
Argentina,2010,Post Secondary,32,4939.8
Armenia,2010,Post Secondary,51,504.1
Aruba,2010,Post Secondary,533,16.2
Australia,2010,Post Secondary,36,5743.2
Austria,2010,Post Secondary,40,1539.3
Azerbaijan,2010,Post Secondary,31,898.6
Bahamas,2010,Post Secondary,44,77.3
Bahrain,2010,Post Secondary,48,174.8
Bangladesh,2010,Post Secondary,50,3506.5
Belarus,2010,Post Secondary,112,1601.4
Belgium,2010,Post Secondary,56,2160.8
Belize,2010,Post Secondary,84,25.4
Benin,2010,Post Secondary,204,113.4
Bhutan,2010,Post Secondary,64,27.8
Bolivia (Plurinational State of),2010,Post Secondary,68,892.4
Bosnia and Herzegovina,2010,Post Secondary,70,415.8
Botswana,2010,Post Secondary,72,185.6
Brazil,2010,Post Secondary,76,13930.6
Bulgaria,2010,Post Secondary,100,1430.5
Burkina Faso,2010,Post Secondary,854,88.7
Burundi,2010,Post Secondary,108,59.9
Cambodia,2010,Post Secondary,116,198.2
Cameroon,2010,Post Secondary,120,599.9
Canada,2010,Post Secondary,124,15231.1
Cape Verde,2010,Post Secondary,132,12.3
Central African Republic,2010,Post Secondary,140,37.9
Chad,2010,Post Secondary,148,81.6
Chile,2010,Post Secondary,152,1728.4
China,2010,Post Secondary,156,118462.1
Colombia,2010,Post Secondary,170,5109.5
Comoros,2010,Post Secondary,174,32.5
Congo,2010,Post Secondary,178,128.9
Costa Rica,2010,Post Secondary,188,553.4
Cote d'Ivoire,2010,Post Secondary,384,355.4
Croatia,2010,Post Secondary,191,593.9
Cuba,2010,Post Secondary,192,898.1
Curaçao,2010,Post Secondary,531,16.7
Cyprus,2010,Post Secondary,196,276.8
Czech Republic,2010,Post Secondary,203,1557.6
Democratic People's Republic of Korea,2010,Post Secondary,408,3415.4
Democratic Republic of the Congo,2010,Post Secondary,180,1292.3
Denmark,2010,Post Secondary,208,1143.9
Dominican Republic,2010,Post Secondary,214,914.3
Ecuador,2010,Post Secondary,218,1521.4
Egypt,2010,Post Secondary,818,9364
El Salvador,2010,Post Secondary,222,366.4
Equatorial Guinea,2010,Post Secondary,226,23.5
Estonia,2010,Post Secondary,233,423.9
Ethiopia,2010,Post Secondary,231,574.1
Fiji,2010,Post Secondary,242,92.6
Finland,2010,Post Secondary,246,1357.6
France,2010,Post Secondary,250,12749
French Guiana,2010,Post Secondary,254,20.6
French Polynesia,2010,Post Secondary,258,34.6
Gabon,2010,Post Secondary,266,67.6
Gambia,2010,Post Secondary,270,28.4
Georgia,2010,Post Secondary,268,1346.8
Germany,2010,Post Secondary,276,19336.3
Ghana,2010,Post Secondary,288,663.5
Greece,2010,Post Secondary,300,2388.4
Guadeloupe,2010,Post Secondary,312,51.4
Guatemala,2010,Post Secondary,320,431
Guinea,2010,Post Secondary,324,271
Guinea-Bissau,2010,Post Secondary,624,12.9
Guyana,2010,Post Secondary,328,43.8
Haiti,2010,Post Secondary,332,66.2
Honduras,2010,Post Secondary,340,167.6
Hong Kong Special Administrative Region of China,2010,Post Secondary,344,1482.8
Hungary,2010,Post Secondary,348,1850.7
Iceland,2010,Post Secondary,352,70.2
India,2010,Post Secondary,356,76726.2
Indonesia,2010,Post Secondary,360,11434
Iran (Islamic Republic of),2010,Post Secondary,364,6881.1
Iraq,2010,Post Secondary,368,2025.1
Ireland,2010,Post Secondary,372,1445.9
Israel,2010,Post Secondary,376,1715.7
Italy,2010,Post Secondary,380,6424.5
Jamaica,2010,Post Secondary,388,298.7
Japan,2010,Post Secondary,392,35552
Jordan,2010,Post Secondary,400,869.4
Kazakhstan,2010,Post Secondary,398,2531.5
Kenya,2010,Post Secondary,404,1289.3
Kiribati,2010,Post Secondary,296,1.4
Kuwait,2010,Post Secondary,414,296.6
Kyrgyzstan,2010,Post Secondary,417,459.1
Lao People's Democratic Republic,2010,Post Secondary,418,351
Latvia,2010,Post Secondary,428,407.6
Lebanon,2010,Post Secondary,422,519.3
Lesotho,2010,Post Secondary,426,63
Liberia,2010,Post Secondary,430,35.7
Lithuania,2010,Post Secondary,440,1219.2
Luxembourg,2010,Post Secondary,442,107.8
Macao Special Administrative Region of China,2010,Post Secondary,446,83
Madagascar,2010,Post Secondary,450,239
Malawi,2010,Post Secondary,454,91.7
Malaysia,2010,Post Secondary,458,2847.7
Maldives,2010,Post Secondary,462,13.2
Mali,2010,Post Secondary,466,181
Malta,2010,Post Secondary,470,65.5
Martinique,2010,Post Secondary,474,50.4
Mauritius,2010,Post Secondary,480,45.1
Mexico,2010,Post Secondary,484,9957.3
Micronesia (Federated States of),2010,Post Secondary,583,5.7
Mongolia,2010,Post Secondary,496,407.8
Montenegro,2010,Post Secondary,499,84.3
Morocco,2010,Post Secondary,504,1433.1
Mozambique,2010,Post Secondary,508,66.8
Myanmar,2010,Post Secondary,104,2490.7
Namibia,2010,Post Secondary,516,94.1
Nepal,2010,Post Secondary,524,439.8
Netherlands,2010,Post Secondary,528,3403.1
New Caledonia,2010,Post Secondary,540,43.7
New Zealand,2010,Post Secondary,554,1268.7
Nicaragua,2010,Post Secondary,558,323.8
Niger,2010,Post Secondary,562,75.2
Nigeria,2010,Post Secondary,566,7787.5
Norway,2010,Post Secondary,578,1210.7
Occupied Palestinian Territory,2010,Post Secondary,275,357.1
Oman,2010,Post Secondary,512,340.3
Pakistan,2010,Post Secondary,586,5069.2
Panama,2010,Post Secondary,591,439.3
Paraguay,2010,Post Secondary,600,438.4
Peru,2010,Post Secondary,604,4011.4
Philippines,2010,Post Secondary,608,8520.6
Poland,2010,Post Secondary,616,6921.4
Portugal,2010,Post Secondary,620,1344.1
Puerto Rico,2010,Post Secondary,630,802.3
Qatar,2010,Post Secondary,634,254.8
Republic of Korea,2010,Post Secondary,410,12942.7
Republic of Moldova,2010,Post Secondary,498,424.1
Reunion,2010,Post Secondary,638,84.2
Romania,2010,Post Secondary,642,3167.7
Russian Federation,2010,Post Secondary,643,28211.6
Rwanda,2010,Post Secondary,646,103.4
Saint Lucia,2010,Post Secondary,662,19.3
Saint Vincent and the Grenadines,2010,Post Secondary,670,9.4
Samoa,2010,Post Secondary,882,14
Sao Tome and Principe,2010,Post Secondary,678,0.8
Saudi Arabia,2010,Post Secondary,682,4267.4
Senegal,2010,Post Secondary,686,205
Serbia,2010,Post Secondary,688,1257.6
Sierra Leone,2010,Post Secondary,694,100.3
Singapore,2010,Post Secondary,702,1938.6
Slovakia,2010,Post Secondary,703,846.9
Slovenia,2010,Post Secondary,705,327.6
Solomon Islands,2010,Post Secondary,90,16.3
Somalia,2010,Post Secondary,706,107
South Africa,2010,Post Secondary,710,2158.5
South Sudan,2010,Post Secondary,728,108.4
Spain,2010,Post Secondary,724,10136.3
Sri Lanka,2010,Post Secondary,144,2595.8
Sudan,2010,Post Secondary,729,1289.4
Suriname,2010,Post Secondary,740,22
Swaziland,2010,Post Secondary,748,58.1
Sweden,2010,Post Secondary,752,2320.8
Switzerland,2010,Post Secondary,756,1699.7
Syrian Arab Republic,2010,Post Secondary,760,1310.7
Taiwan Province of China,2010,Post Secondary,158,5821.2
Tajikistan,2010,Post Secondary,762,849.9
Thailand,2010,Post Secondary,764,7091.7
The former Yugoslav Republic of Macedonia,2010,Post Secondary,807,188.8
Timor-Leste,2010,Post Secondary,626,37.3
Togo,2010,Post Secondary,768,108.5
Tonga,2010,Post Secondary,776,7.2
Trinidad and Tobago,2010,Post Secondary,780,228.7
Tunisia,2010,Post Secondary,788,770
Turkey,2010,Post Secondary,792,6842.3
Turkmenistan,2010,Post Secondary,795,407.8
Uganda,2010,Post Secondary,800,436.5
Ukraine,2010,Post Secondary,804,6582
United Arab Emirates,2010,Post Secondary,784,1466.1
United Kingdom of Great Britain and Northern Ireland,2010,Post Secondary,826,15051.4
United Republic of Tanzania,2010,Post Secondary,834,578.2
United States of America,2010,Post Secondary,840,77075.9
Uruguay,2010,Post Secondary,858,247.5
Vanuatu,2010,Post Secondary,548,4.7
Venezuela (Bolivarian Republic of),2010,Post Secondary,862,3786.9
Viet Nam,2010,Post Secondary,704,4419.6
World,2010,Post Secondary,900,677788.2
Yemen,2010,Post Secondary,887,29.5
Zambia,2010,Post Secondary,894,636.2
Zimbabwe,2010,Post Secondary,716,519.7
